subscription_id,customer_id,plan,billing_interval,currency,price_amount_cents,status,created_at,current_period_start,current_period_end,cancel_at_period_end,canceled_at,auto_renew,coupon_code,discounted_periods_remaining,pending_plan_change,pending_plan_effective_at,dunning_stage,failed_payment_attempts,days_past_due,next_retry_at,trial_end
SUB-1016,CUST-0016,basic,annual,USD,4990,active,2021-01-08T11:53:00Z,2024-08-24T12:00:00Z,2025-08-24T12:00:00Z,false,,true,,,,,,,,,
SUB-1017,CUST-0017,basic,monthly,USD,499,trialing,2025-03-04T08:45:00Z,2025-03-04T08:45:00Z,2025-03-18T08:45:00Z,false,,true,,,,,,,,,2025-03-18T08:45:00Z
SUB-1018,CUST-0018,basic,monthly,EUR,499,active,2023-10-26T16:49:00Z,2025-02-14T09:12:00Z,2025-03-16T09:12:00Z,false,,true,,,,,,,,,
SUB-1019,CUST-0019,basic,monthly,CAD,699,active,2025-01-12T15:03:00Z,2025-02-24T10:28:00Z,2025-03-26T10:28:00Z,false,,true,START25,4,,,,,,,
SUB-1020,CUST-0020,pro,annual,USD,29990,active,2023-02-24T16:48:00Z,2025-03-24T14:46:00Z,2025-04-23T14:46:00Z,true,,true,,,,,,,,,
SUB-1021,CUST-0021,pro,annual,USD,29990,active,2024-08-15T13:11:00Z,2024-06-09T12:00:00Z,2025-06-09T12:00:00Z,false,,true,ANNUAL20,,,,,,,,
SUB-1022,CUST-0022,basic,monthly,USD,499,trialing,2025-03-07T00:00:00Z,2025-03-07T00:00:00Z,2025-03-28T00:00:00Z,false,,true,,,,,,,,,2025-03-28T00:00:00Z
SUB-1023,CUST-0023,pro,monthly,USD,2999,active,2022-07-04T16:14:00Z,2025-02-19T20:43:00Z,2025-03-21T20:43:00Z,false,,true,,,,,,,,,
SUB-1024,CUST-0024,pro,monthly,EUR,2999,active,2021-02-08T18:53:00Z,2025-02-12T13:09:00Z,2025-03-14T13:09:00Z,false,,true,,,,,,,,,
SUB-1025,CUST-0025,basic,annual,CAD,6990,active,2023-11-13T20:35:00Z,2024-08-13T16:03:00Z,2025-08-13T16:03:00Z,false,,true,,,,,,,,,
SUB-1026,CUST-0026,basic,monthly,USD,499,active,2023-09-01T16:26:00Z,2025-02-14T15:06:00Z,2025-03-16T15:06:00Z,false,,true,,,,,,,,,
SUB-1027,CUST-0027,pro,monthly,EUR,2999,active,2023-09-09T08:18:00Z,2025-02-14T20:14:00Z,2025-03-16T20:14:00Z,false,,true,,,,,,,,,
SUB-1028,CUST-0028,basic,annual,USD,4990,past_due,2024-11-26T18:09:00Z,2025-01-24T12:00:00Z,2025-02-23T12:00:00Z,false,,true,,,,,final_notice,4,14,2025-03-12T12:00:00Z,
SUB-1029,CUST-0029,pro,annual,EUR,29990,active,2023-11-23T20:31:00Z,2024-09-12T18:40:00Z,2025-09-12T18:40:00Z,false,,true,,,,,,,,,
SUB-1030,CUST-0030,basic,monthly,USD,499,active,2025-02-20T00:00:00Z,2025-02-20T10:05:00Z,2025-03-22T10:05:00Z,false,,true,,,,,,,,,
SUB-1031,CUST-0031,basic,annual,USD,4990,active,2024-05-07T14:54:00Z,2024-03-15T08:10:00Z,2025-03-15T08:10:00Z,false,,true,,,,,,,,,
SUB-1032,CUST-0032,pro,monthly,USD,2999,active,2025-01-27T11:56:00Z,2025-02-15T11:58:00Z,2025-03-17T11:58:00Z,false,,true,START25,2,,,,,,,
SUB-1033,CUST-0033,basic,monthly,USD,499,active,2024-05-24T13:51:00Z,2025-03-01T10:02:00Z,2025-03-31T10:02:00Z,false,,true,,,,,,,,,
SUB-1034,CUST-0034,pro,monthly,CAD,3999,active,2023-10-08T18:04:00Z,2025-03-06T10:59:00Z,2025-04-05T10:59:00Z,false,,true,,,pro_to_basic,2025-04-05T10:59:00Z,,,,,
SUB-1035,CUST-0035,basic,monthly,CAD,699,active,2022-08-15T11:54:00Z,2025-02-27T14:56:00Z,2025-03-29T14:56:00Z,false,,true,,,,,,,,,
SUB-1036,CUST-0036,basic,monthly,USD,499,active,2025-01-09T10:08:00Z,2025-02-14T12:24:00Z,2025-03-16T12:24:00Z,false,,true,,,,,,,,,
SUB-1037,CUST-0037,pro,monthly,EUR,2999,active,2025-01-24T20:58:00Z,2025-02-17T20:33:00Z,2025-03-19T20:33:00Z,false,,true,,,,,,,,,
SUB-1038,CUST-0038,basic,monthly,USD,499,active,2025-02-28T00:00:00Z,2025-02-25T19:22:00Z,2025-03-27T19:22:00Z,false,,true,FRIEND50,3,,,,,,,
SUB-1039,CUST-0039,basic,annual,EUR,4990,canceled,2021-12-24T13:51:00Z,2025-02-01T12:40:00Z,2025-03-03T12:40:00Z,false,2025-02-17T12:40:00Z,false,,,,,,,,,
SUB-1040,CUST-0040,basic,monthly,USD,499,active,2025-02-28T00:00:00Z,2025-02-22T16:20:00Z,2025-03-24T16:20:00Z,false,,true,FRIEND50,3,,,,,,,
SUB-1041,CUST-0041,basic,monthly,USD,499,active,2025-02-20T00:00:00Z,2025-02-17T13:38:00Z,2025-03-19T13:38:00Z,false,,true,STREAM30,,,,,,,,
SUB-1042,CUST-0042,basic,monthly,USD,499,trialing,2025-03-07T00:00:00Z,2025-03-07T00:00:00Z,2025-03-21T00:00:00Z,false,,true,,,,,,,,,2025-03-21T00:00:00Z
SUB-1043,CUST-0043,basic,monthly,USD,499,trialing,2025-03-07T00:00:00Z,2025-03-07T00:00:00Z,2025-04-06T00:00:00Z,false,,true,,,,,,,,,2025-04-06T00:00:00Z
SUB-1044,CUST-0044,basic,monthly,USD,499,active,2021-09-21T09:33:00Z,2025-02-26T20:30:00Z,2025-03-28T20:30:00Z,false,,true,,,,,,,,,
SUB-1045,CUST-0045,basic,monthly,USD,499,active,2025-02-13T15:32:00Z,2025-02-17T09:15:00Z,2025-03-19T09:15:00Z,false,,true,START25,4,,,,,,,
SUB-1046,CUST-0046,pro,monthly,CAD,3999,canceled,2023-10-16T16:09:00Z,2025-01-26T10:24:00Z,2025-02-25T10:24:00Z,false,2025-02-11T10:24:00Z,false,,,,,,,,,
SUB-1047,CUST-0047,pro,monthly,CAD,3999,active,2025-02-20T00:00:00Z,2025-02-22T11:36:00Z,2025-03-24T11:36:00Z,false,,true,,,,,,,,,
SUB-1048,CUST-0048,basic,monthly,CAD,699,active,2024-04-08T10:09:00Z,2025-02-20T11:37:00Z,2025-03-22T11:37:00Z,false,,true,STREAM30,,,,,,,,
SUB-1049,CUST-0049,pro,monthly,USD,2999,active,2023-11-19T15:29:00Z,2025-02-28T19:22:00Z,2025-03-30T19:22:00Z,false,,true,,,,,,,,,
SUB-1050,CUST-0050,basic,monthly,USD,499,active,2022-08-12T08:26:00Z,2025-02-25T20:56:00Z,2025-03-27T20:56:00Z,false,,true,,,,,,,,,
SUB-1051,CUST-0051,pro,monthly,EUR,2999,active,2023-04-27T10:35:00Z,2025-02-11T08:05:00Z,2025-03-13T08:05:00Z,false,,true,STREAM30,,,,,,,,
SUB-1052,CUST-0052,pro,monthly,USD,2999,active,2025-01-02T08:24:00Z,2025-02-10T16:30:00Z,2025-03-12T16:30:00Z,false,,true,START25,2,,,,,,,
SUB-1053,CUST-0053,pro,monthly,USD,2999,past_due,2025-02-20T00:00:00Z,2025-01-17T12:00:00Z,2025-02-16T12:00:00Z,false,,true,,,,,retry_2,2,21,2025-03-12T12:00:00Z,
SUB-1054,CUST-0054,basic,monthly,USD,499,active,2023-01-28T18:21:00Z,2025-02-15T10:21:00Z,2025-03-17T10:21:00Z,false,,true,,,,,,,,,
SUB-1055,CUST-0055,basic,monthly,USD,499,active,2023-08-20T19:27:00Z,2025-02-14T10:37:00Z,2025-03-16T10:37:00Z,false,,true,,,,,,,,,
SUB-1056,CUST-0056,pro,monthly,USD,2999,active,2023-06-13T17:02:00Z,2025-02-22T13:45:00Z,2025-03-24T13:45:00Z,false,,true,STREAM30,,,,,,,,
SUB-1057,CUST-0057,basic,monthly,USD,499,active,2022-02-05T09:28:00Z,2025-02-15T13:08:00Z,2025-03-17T13:08:00Z,false,,true,,,,,,,,,
SUB-1058,CUST-0058,pro,annual,CAD,39990,active,2025-02-20T00:00:00Z,2024-06-14T12:00:00Z,2025-06-14T12:00:00Z,false,,true,,,,,,,,,
SUB-1059,CUST-0059,basic,monthly,USD,499,canceled,2024-12-06T11:31:00Z,2025-01-12T11:31:00Z,2025-02-11T11:31:00Z,false,2025-02-04T11:31:00Z,false,,,,,,,,,
SUB-1060,CUST-0060,basic,monthly,CAD,699,past_due,2021-02-02T18:49:00Z,2025-01-17T12:00:00Z,2025-02-16T12:00:00Z,false,,true,,,,,retry_1,1,21,2025-03-11T12:00:00Z,
SUB-1061,CUST-0061,basic,annual,USD,4990,active,2023-09-18T09:20:00Z,2024-07-24T19:18:00Z,2025-07-24T19:18:00Z,false,,true,,,,,,,,,
SUB-1062,CUST-0062,basic,annual,USD,4990,active,2024-09-15T11:13:00Z,2024-12-02T10:38:00Z,2025-12-02T10:38:00Z,false,,true,ANNUAL20,,,,,,,,
SUB-1063,CUST-0063,pro,monthly,USD,2999,active,2025-02-20T00:00:00Z,2025-02-17T19:04:00Z,2025-03-19T19:04:00Z,false,,true,,,,,,,,,
SUB-1064,CUST-0064,basic,monthly,CAD,699,active,2025-02-20T00:00:00Z,2025-03-19T13:25:00Z,2025-04-18T13:25:00Z,true,,true,,,,,,,,,
SUB-1065,CUST-0065,basic,monthly,EUR,499,active,2025-02-12T16:22:00Z,2025-02-12T18:56:00Z,2025-03-14T18:56:00Z,false,,true,START25,2,,,,,,,
SUB-1066,CUST-0066,pro,monthly,USD,2999,active,2025-02-20T00:00:00Z,2025-03-09T20:33:00Z,2025-04-08T20:33:00Z,false,,true,,,pro_to_basic,2025-04-08T20:33:00Z,,,,,
SUB-1067,CUST-0067,pro,annual,CAD,39990,active,2024-07-27T13:49:00Z,2025-03-04T12:05:00Z,2025-04-03T12:05:00Z,true,,true,,,,,,,,,
SUB-1068,CUST-0068,pro,monthly,USD,2999,active,2021-11-25T10:00:00Z,2025-03-09T13:15:00Z,2025-04-08T13:15:00Z,false,,true,,,pro_to_basic,2025-04-08T13:15:00Z,,,,,
SUB-1069,CUST-0069,basic,annual,EUR,4990,active,2024-03-24T12:56:00Z,2024-10-01T12:13:00Z,2025-10-01T12:13:00Z,false,,true,ANNUAL20,,,,,,,,
SUB-1070,CUST-0070,basic,monthly,USD,499,active,2022-03-20T18:57:00Z,2025-02-23T15:46:00Z,2025-03-25T15:46:00Z,false,,true,,,,,,,,,
SUB-1071,CUST-0071,pro,monthly,USD,2999,past_due,2023-03-13T18:32:00Z,2025-01-19T12:00:00Z,2025-02-18T12:00:00Z,false,,true,,,,,retry_3,3,19,2025-03-13T12:00:00Z,
SUB-1072,CUST-0072,basic,monthly,EUR,499,active,2025-02-20T00:00:00Z,2025-02-27T14:22:00Z,2025-03-29T14:22:00Z,false,,true,,,,,,,,,
SUB-1073,CUST-0073,basic,annual,USD,4990,active,2021-07-09T08:47:00Z,2024-06-09T12:00:00Z,2025-06-09T12:00:00Z,false,,true,,,,,,,,,
SUB-1074,CUST-0074,basic,monthly,EUR,499,active,2025-02-20T00:00:00Z,2025-02-13T13:16:00Z,2025-03-15T13:16:00Z,false,,true,,,,,,,,,
SUB-1075,CUST-0075,basic,monthly,USD,499,active,2022-04-03T09:38:00Z,2025-02-12T14:10:00Z,2025-03-14T14:10:00Z,false,,true,STREAM30,,,,,,,,
SUB-1076,CUST-0076,basic,monthly,EUR,499,active,2025-02-16T18:06:00Z,2025-02-25T17:57:00Z,2025-03-27T17:57:00Z,false,,true,TAKE5,,,,,,,,
SUB-1077,CUST-0077,basic,annual,USD,4990,active,2024-01-18T14:26:00Z,2024-09-21T10:38:00Z,2025-09-21T10:38:00Z,false,,true,,,,,,,,,
SUB-1078,CUST-0078,pro,annual,CAD,39990,active,2024-04-28T13:19:00Z,2024-06-08T12:00:00Z,2025-06-08T12:00:00Z,false,,true,,,,,,,,,
SUB-1079,CUST-0079,basic,annual,EUR,4990,active,2023-07-02T17:55:00Z,2024-06-06T12:00:00Z,2025-06-06T12:00:00Z,false,,true,,,,,,,,,
SUB-1080,CUST-0080,pro,monthly,CAD,3999,active,2025-02-20T00:00:00Z,2025-02-15T08:13:00Z,2025-03-17T08:13:00Z,false,,true,,,,,,,,,
SUB-1081,CUST-0081,pro,monthly,CAD,3999,active,2025-02-20T00:00:00Z,2025-02-22T09:19:00Z,2025-03-24T09:19:00Z,false,,true,,,,,,,,,
SUB-1082,CUST-0082,basic,monthly,USD,499,past_due,2021-11-01T19:10:00Z,2025-02-03T12:00:00Z,2025-03-05T12:00:00Z,false,,true,,,,,final_notice,4,4,2025-03-14T12:00:00Z,
SUB-1083,CUST-0083,basic,monthly,USD,499,active,2024-02-10T10:36:00Z,2025-02-27T12:05:00Z,2025-03-29T12:05:00Z,false,,true,,,,,,,,,
SUB-1084,CUST-0084,pro,monthly,EUR,2999,active,2025-02-28T00:00:00Z,2025-02-15T14:23:00Z,2025-03-17T14:23:00Z,false,,true,FRIEND50,3,,,,,,,
SUB-1085,CUST-0085,basic,monthly,EUR,499,active,2021-03-03T10:27:00Z,2025-02-18T15:29:00Z,2025-03-20T15:29:00Z,false,,true,,,,,,,,,
SUB-1086,CUST-0086,basic,annual,USD,4990,active,2022-05-10T12:31:00Z,2024-07-19T08:09:00Z,2025-07-19T08:09:00Z,false,,true,,,,,,,,,
SUB-1087,CUST-0087,basic,annual,USD,4990,active,2023-06-20T19:12:00Z,2024-12-08T16:03:00Z,2025-12-08T16:03:00Z,false,,true,,,,,,,,,
SUB-1088,CUST-0088,basic,annual,CAD,6990,active,2024-11-16T10:40:00Z,2024-12-08T15:19:00Z,2025-12-08T15:19:00Z,false,,true,,,,,,,,,
SUB-1089,CUST-0089,basic,annual,USD,4990,active,2024-06-26T14:06:00Z,2024-06-14T12:00:00Z,2025-06-14T12:00:00Z,false,,true,,,,,,,,,
SUB-1090,CUST-0090,basic,monthly,CAD,699,active,2022-09-16T13:30:00Z,2025-02-14T14:12:00Z,2025-03-16T14:12:00Z,false,,true,,,,,,,,,
SUB-1091,CUST-0091,pro,annual,EUR,29990,canceled,2024-10-14T14:00:00Z,2025-01-02T15:49:00Z,2025-02-01T15:49:00Z,false,2025-01-25T15:49:00Z,false,,,,,,,,,
SUB-1092,CUST-0092,basic,annual,USD,4990,active,2025-02-20T00:00:00Z,2024-06-13T12:00:00Z,2025-06-13T12:00:00Z,false,,true,,,,,,,,,
SUB-1093,CUST-0093,pro,monthly,USD,2999,active,2023-01-16T10:12:00Z,2025-03-01T08:50:00Z,2025-03-31T08:50:00Z,false,,true,,,,,,,,,
SUB-1094,CUST-0094,pro,monthly,USD,2999,active,2025-01-20T13:31:00Z,2025-02-28T10:09:00Z,2025-03-30T10:09:00Z,false,,true,START25,3,,,,,,,
SUB-1095,CUST-0095,basic,annual,USD,4990,active,2025-02-20T00:00:00Z,2024-04-19T20:06:00Z,2025-04-19T20:06:00Z,false,,true,,,,,,,,,
SUB-1096,CUST-0096,pro,monthly,USD,2999,active,2022-04-05T19:20:00Z,2025-02-22T10:17:00Z,2025-03-24T10:17:00Z,false,,true,,,,,,,,,
SUB-1097,CUST-0097,basic,monthly,EUR,499,active,2025-02-28T00:00:00Z,2025-02-20T14:56:00Z,2025-03-22T14:56:00Z,false,,true,FRIEND50,2,,,,,,,
SUB-1098,CUST-0098,pro,annual,USD,29990,active,2024-04-23T10:56:00Z,2024-06-01T12:00:00Z,2025-06-01T12:00:00Z,false,,true,,,,,,,,,
SUB-1099,CUST-0099,basic,monthly,USD,499,active,2025-01-27T18:53:00Z,2025-02-13T15:54:00Z,2025-03-15T15:54:00Z,false,,true,TAKE5,,,,,,,,
SUB-1100,CUST-0100,basic,monthly,CAD,699,active,2023-12-07T18:47:00Z,2025-02-20T19:28:00Z,2025-03-22T19:28:00Z,false,,true,,,,,,,,,
